index,height,upper_leg
42143,155.4,32.8
42144,152.5,34.1
42145,172.3,45
42146,171.9,40.4
42147,153.4,24.8
42150,150.4,37
42151,165.5,36.7
42152,169.5,39.5
42153,146.3,36
42154,176.1,40.4
42157,159.4,35.1
42159,166.8,38
42160,154.9,35
42161,173,40.1
42163,175,40.2
42164,159,37
42165,166.8,43.1
42166,177.7,45.5
42168,163.9,37.7
42170,170.3,43
42171,165.9,36
42172,152.6,30.1
42173,184.3,45.6
42174,153,35.8
42175,165.2,33.8
42176,145.7,34.9
42177,158,37.3
42179,175.2,40.9
42180,164.5,33.5
42181,174.9,43.4
42183,169.8,35.5
42185,176.8,41.5
42187,169,42.3
42189,160.2,36.4
42190,172.1,41
42192,158.5,41
42193,172.6,38.4
42196,134.6,29.8
42197,167.1,34
42198,161.2,35.6
42199,166.5,39.5
42200,168,39.4
42202,168.9,39.5
42203,143.1,33.1
42204,165.7,40.4
42205,140.8,35
42206,148.3,31.2
42208,155.5,46.5
42209,172.5,40
42210,162.3,37
42211,162.1,36.3
42212,171.7,35.6
42213,160.5,38
42214,155.9,35.3
42215,164.6,36.2
42220,172.9,38
42222,143.6,32
42224,177.1,38.4
42227,168.2,41.5
42229,174.7,40.4
42232,158,38
42237,172.7,38.7
42238,170.2,40.6
42239,162.5,34.7
42240,156.1,35.4
42243,144.9,34
42244,160.2,36
42245,159,39.3
42246,154.7,34.6
42248,162.3,40.9
42249,175.8,42.2
42250,165.8,38.3
42251,171.3,39.6
42252,166.8,37.2
42255,164.1,35.3
42257,164.7,33.8
42262,180.1,41.5
42263,166.9,29.1
42264,141.3,34.5
42265,173.8,39.9
42267,185.9,45.4
42268,173.8,40.7
42269,156.4,30.3
42272,136.8,33.6
42273,178.7,40.6
42274,156.4,34.8
42275,168.2,37
42276,146.4,28.4
42279,127.9,31
42280,154.7,36.2
42281,166.2,37.6
42282,138.1,34.4
42283,145.2,31.5
42284,159,34.2
42285,158.8,37.2
42286,155.6,35.4
42287,165,39.4
42288,153.5,30
42289,148.7,36.7
42291,163,34.5
42293,144.5,33.1
42294,169.1,40.6
42295,162.1,34.5
42296,154.3,33.5
42297,157.8,32
42298,155.6,35.2
42299,181.8,43.9
42300,159.9,38.5
42301,154.7,36.5
42304,158.1,36.8
42305,191.6,49.9
42306,154.5,38.7
42307,161.2,36.5
42308,158.9,37.5
42309,163,30.9
42310,188,42.6
42311,161.3,34
42312,174.2,43.3
42315,153.5,37
42317,160.3,36.7
42318,177.2,42.9
42319,173.5,39.6
42320,161.5,39.3
42321,165.9,36.8
42322,139.3,30.4
42323,160.3,38
42324,132.9,30.6
42325,169.1,39
42328,174.9,40.6
42329,176.7,35.6
42330,151.3,34.5
42331,168.3,39.3
42332,168.6,37.3
42333,161.9,39
42335,177.7,41.5
42337,156,37.7
42338,177.1,34.5
42339,134.3,31.4
42340,149.9,31.5
42341,150.7,35.1
42342,172.7,42.7
42344,176.3,41.9
42345,157.2,40
42346,167.6,37.4
42349,191.9,44.8
42350,156.3,35.5
42351,160.6,36.5
42356,167,37.6
42357,145.8,33
42358,149.4,27
42359,174.1,41.1
42360,145.3,36.5
42361,172.3,40.9
42362,163.8,40
42363,180.2,47.4
42364,154.6,36
42365,154.4,33.8
42366,170.4,38.2
42368,149.5,33.6
42369,164.2,33.6
42370,190.4,48
42371,135.7,34
42373,161.5,40.5
42374,155.3,36.1
42375,187.7,43
42376,158.8,35.1
42377,176.5,39.5
42379,148.5,32
42381,169.6,37.7
42382,178.3,39.5
42383,170.7,41.3
42384,180.2,40.3
42386,150,35.2
42387,171.5,41.3
42389,166.1,38
42391,183,43.6
42393,178.2,40.4
42395,169.3,38.2
42396,169.3,38.3
42398,153.9,38.8
42399,171.9,39.5
42400,187.4,44.6
42402,153.5,33.1
42403,154.8,39
42404,175,40.4
42405,159.4,36.1
42406,188,47.9
42407,155.8,34.4
42409,155,38.5
42410,159.1,36.5
42411,149.5,30.6
42413,158.9,39
42415,176.9,43.6
42416,167,39
42417,131.6,31.7
42418,142.3,34.5
42420,171.8,39.2
42421,166.1,35.8
42422,164,37.6
42424,158.5,32.1
42425,158,37.5
42426,161.8,36.1
42428,179.5,39.4
42429,173.1,45
42430,171.2,42.1
42432,149.2,37.6
42433,173.4,44.3
42434,167.6,39.8
42435,179.9,41.5
42436,158,33.7
42437,168.1,37.5
42438,159,36.3
42439,160.1,37.2
42440,195.2,46.1
42441,178,44.6
42442,130.4,29.7
42444,157,34
42445,161.7,37.5
42446,167.1,39
42449,178.3,40.5
42452,176.8,40.8
42453,174.8,38.5
42457,164.9,38.3
42459,150.8,33
42460,180.2,37
42461,117.2,27.3
42462,140.5,34.4
42464,160.6,37.7
42465,145.2,31.5
42466,149,35
42467,159.5,38.5
42469,149.8,37.2
42471,170.4,35.8
42473,177.2,43
42474,157.3,32.2
42475,181.8,46.4
42477,166.2,39.5
42479,163.3,35.5
42481,158.9,31.2
42482,166.2,38.1
42483,165,35.7
42484,153.8,35
42485,130.6,30.1
42486,158.2,39.2
42487,151.1,35.7
42488,153.7,35.5
42489,155.8,33.8
42490,182.1,37.8
42491,156.1,34
42492,166.7,38.8
42493,192.8,44.8
42495,178.9,49
42496,167.3,39.2
42497,169,38.6
42499,146.8,36
42500,158.5,40.2
42501,165.1,36.2
42502,171.7,37.2
42503,187.5,44.4
42504,175.8,42.6
42506,157.5,32.5
42507,159.1,32.1
42508,145.8,33.7
42509,184.1,38.1
42510,171.9,40.7
42512,161.4,39.6
42513,135,30
42515,122.7,28.1
42516,177.7,44.1
42517,174.1,42.2
42518,176.5,39.5
42519,158.9,38.5
42520,158,42.4
42521,154.4,37
42522,134.1,30.3
42523,170.8,44
42524,178.3,41
42525,169.5,41.4
42526,172.6,40
42527,153.8,29.3
42528,160.6,34.2
42529,180.2,38.2
